idCommune;nomCommune;annee;taux;nbMaison;nbAppart;prixM2Moyen;prixMoyen;surface;depCulturelleTotal;bugdet;population;listeVoisine;listeGare
22259;QUEVERT;2018;0.0;45;0;1588.84;164871.0;105.511;-1.0;-1.0;-1;;
22259;QUEVERT;2019;0.0;57;4;1734.26;167721.0;99.1803;136.0;4187.0;3824;;
22259;QUEVERT;2020;0.0;59;4;1741.83;177896.0;101.048;144.0;0.0;3934;;
22259;QUEVERT;2021;0.0;71;5;2043.05;190549.0;98.9868;-1.0;-1.0;-1;;
22260;LE QUILLIO;2018;0.0;7;0;959.429;73571.4;80.0;-1.0;-1.0;-1;;
22260;LE QUILLIO;2019;0.0;4;0;663.0;49500.0;80.75;-1.0;-1.0;-1;;
22260;LE QUILLIO;2020;0.0;12;0;888.25;102319.0;126.583;-1.0;-1.0;-1;;
22260;LE QUILLIO;2021;0.0;8;0;796.125;64000.0;88.5;-1.0;-1.0;-1;;
22261;QUINTENIC;2018;0.0;4;0;1729.0;202000.0;122.0;-1.0;-1.0;-1;;
22261;QUINTENIC;2019;0.0;6;0;1270.17;148750.0;117.0;-1.0;-1.0;-1;;
22261;QUINTENIC;2020;0.0;4;0;1858.75;248562.0;154.25;-1.0;-1.0;-1;;
22261;QUINTENIC;2021;0.0;4;0;1474.25;271250.0;167.25;-1.0;-1.0;-1;;
22262;QUINTIN;2018;0.0;32;1;1091.21;103256.0;96.0909;-1.0;-1.0;-1;;
22262;QUINTIN;2019;0.0;37;4;1183.15;125832.0;112.415;-1.0;-1.0;-1;;
22262;QUINTIN;2020;0.0;48;1;1386.55;151764.0;113.122;-1.0;-1.0;-1;;
22262;QUINTIN;2021;0.0;37;6;1584.7;140803.0;97.093;-1.0;-1.0;-1;;
22263;LE QUIOU;2018;0.0;4;0;911.25;71500.0;85.5;-1.0;-1.0;-1;;
22263;LE QUIOU;2019;0.0;5;0;1111.0;115092.0;107.0;-1.0;-1.0;-1;;
22263;LE QUIOU;2020;0.0;1;0;1598.0;139000.0;87.0;-1.0;-1.0;-1;;
22263;LE QUIOU;2021;0.0;8;0;1756.12;170239.0;97.25;-1.0;-1.0;-1;;
22264;LA ROCHE-JAUDY;2018;0.0;43;1;1229.34;118326.0;95.2273;-1.0;-1.0;-1;;
22264;LA ROCHE-JAUDY;2019;0.0;38;0;999.868;96026.1;98.9211;-1.0;-1.0;-1;;
22264;LA ROCHE-JAUDY;2020;0.0;52;0;1168.58;116848.0;102.5;-1.0;-1.0;-1;;
22264;LA ROCHE-JAUDY;2021;0.0;50;0;1526.38;163719.0;108.5;-1.0;-1.0;-1;;
22265;ROSPEZ;2018;0.0;25;0;1325.0;143266.0;111.32;-1.0;-1.0;-1;;
22265;ROSPEZ;2019;0.0;21;0;1288.52;136598.0;109.095;-1.0;-1.0;-1;;
22265;ROSPEZ;2020;0.0;17;0;1405.82;143118.0;102.353;-1.0;-1.0;-1;;
22265;ROSPEZ;2021;0.0;33;0;1742.36;185748.0;106.061;-1.0;-1.0;-1;;
22266;ROSTRENEN;2018;0.0;48;2;758.24;79645.8;100.76;-1.0;-1.0;-1;;
22266;ROSTRENEN;2019;0.0;59;1;784.767;70804.4;90.4;-1.0;-1.0;-1;;
22266;ROSTRENEN;2020;0.0;66;2;939.794;87793.1;94.6471;-1.0;-1.0;-1;;
22266;ROSTRENEN;2021;0.0;96;0;1031.69;96525.5;95.6042;-1.0;-1.0;-1;;
22267;ROUILLAC;2018;0.0;2;0;600.5;41500.0;68.5;-1.0;-1.0;-1;;
22267;ROUILLAC;2019;0.0;2;0;552.5;34500.0;63.0;-1.0;-1.0;-1;;
22267;ROUILLAC;2020;0.0;8;0;840.125;78912.5;96.25;-1.0;-1.0;-1;;
22267;ROUILLAC;2021;0.0;9;0;1191.11;97288.9;86.5556;-1.0;-1.0;-1;;
22268;RUCA;2018;0.0;5;0;1571.4;165800.0;105.8;-1.0;-1.0;-1;;
22268;RUCA;2019;0.0;12;0;1417.42;127067.0;91.0;-1.0;-1.0;-1;;
22268;RUCA;2020;0.0;17;0;1692.0;176894.0;110.706;-1.0;-1.0;-1;;
22268;RUCA;2021;0.0;13;0;1483.15;156980.0;106.308;-1.0;-1.0;-1;;
22269;RUNAN;2018;0.0;4;0;844.5;93750.0;99.25;-1.0;-1.0;-1;;
22269;RUNAN;2019;0.0;3;0;814.0;88183.3;114.667;-1.0;-1.0;-1;;
22269;RUNAN;2020;0.0;3;0;886.333;108217.0;111.333;-1.0;-1.0;-1;;
22269;RUNAN;2021;0.0;6;0;1090.67;112133.0;94.5;-1.0;-1.0;-1;;
22271;SAINT-ADRIEN;2018;0.0;4;0;1076.5;105250.0;96.75;-1.0;-1.0;-1;;
22271;SAINT-ADRIEN;2019;0.0;6;0;1143.5;111833.0;103.5;-1.0;-1.0;-1;;
22271;SAINT-ADRIEN;2020;0.0;1;0;1176.0;120000.0;102.0;-1.0;-1.0;-1;;
22271;SAINT-ADRIEN;2021;0.0;8;0;1236.0;112550.0;86.5;-1.0;-1.0;-1;;
22272;SAINT-AGATHON;2018;0.0;18;3;1423.38;151776.0;113.0;-1.0;-1.0;-1;;
22272;SAINT-AGATHON;2019;0.0;20;2;1318.0;120575.0;90.7727;-1.0;-1.0;-1;;
22272;SAINT-AGATHON;2020;0.0;32;2;1701.68;162725.0;99.8824;-1.0;-1.0;-1;;
22272;SAINT-AGATHON;2021;0.0;35;5;1511.0;128396.0;89.55;-1.0;-1.0;-1;;
22273;SAINT-ALBAN;2018;0.0;28;0;1799.21;170683.0;92.1071;-1.0;-1.0;-1;;
22273;SAINT-ALBAN;2019;0.0;32;0;1792.0;191414.0;104.062;-1.0;-1.0;-1;;
22273;SAINT-ALBAN;2020;0.0;34;0;2076.47;215364.0;105.235;-1.0;-1.0;-1;;
